,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
,"Build Assembly","05/30/2025",,"68","5LASER WHITE",-1,"",127,0.00,0.00
"Total 5LASER WHITE (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, WHITE)",,,,,,,,127.00,,0.00
"5LASERP-BEAR TAN/BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS WIT...",,,,,,,,"",,""
,"Invoice","07/01/2026","VOGUE ESSENTIALS","433939","5LASERP-BEAR TAN/BLACK",0,"",0,0.00,0.00
"Total 5LASERP-BEAR TAN/BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS WIT...",,,,,,,,0.00,,0.00
"5LASERP-BEAR TAN/NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS WITH...",,,,,,,,"",,""
,"Invoice","07/01/2026","VOGUE ESSENTIALS","433939","5LASERP-BEAR TAN/NAVY",-3,"",-3,0.00,0.00
"Total 5LASERP-BEAR TAN/NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS WITH...",,,,,,,,-3.00,,0.00
"5TCP BLACK (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, BL...",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5TCP BLACK",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5TCP BLACK",-3,"",9,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5TCP BLACK",24,0.00,33,0.00,0.00
,"Invoice","01/07/2026","WHOLESALE IN MOTION","432961","5TCP BLACK",-3,"",30,0.00,0.00
"Total 5TCP BLACK (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, BL...",,,,,,,,30.00,,0.00
"5TCP K.GREEN (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, ...",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5TCP K.GREEN",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5TCP K.GREEN",-3,"",9,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5TCP K.GREEN",-3,"",6,0.00,0.00
"Total 5TCP K.GREEN (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, ...",,,,,,,,6.00,,0.00
"5TCP KHAKI (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, KH...",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5TCP KHAKI",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5TCP KHAKI",-3,"",9,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5TCP KHAKI",-3,"",6,0.00,0.00
"Total 5TCP KHAKI (5 PANEL LASER-CUT WATERPROOF SOLID COLOR PERFORATED SNAPBACK CAPS, KH...",,,,,,,,6.00,,0.00
"5TRTM BLACK (5 PANEL SNAPBACK MASH CAPS, BLACK)",,,,,,,,"",,""
,"Item Receipt","05/20/2025","EPOCH",,"5TRTM BLACK",108,0.00,108,0.00,0.00
,"Build Assembly","11/21/2025",,"138","5TRTM BLACK",-21,"",87,0.00,0.00
,"Build Assembly","11/21/2025",,"142","5TRTM BLACK",-3,"",84,0.00,0.00
,"Build Assembly","11/25/2025",,"162","5TRTM BLACK",-3,"",81,0.00,0.00
"Total 5TRTM BLACK (5 PANEL SNAPBACK MASH CAPS, BLACK)",,,,,,,,81.00,,0.00
"5TRTM BLACK/WHITE (5 PANEL SNAPBACK MASH CAPS, BLACK/WHITE)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5TRTM BLACK/WHITE",12,"",12,0.00,0.00
,"Build Assembly","03/31/2025",,"10","5TRTM BLACK/WHITE",-1,"",11,0.00,0.00
,"Build Assembly","05/22/2025",,"48","5TRTM BLACK/WHITE",-2,"",9,0.00,0.00
,"Build Assembly","05/29/2025",,"63","5TRTM BLACK/WHITE",-1,"",8,0.00,0.00
,"Build Assembly","06/05/2025",,"71","5TRTM BLACK/WHITE",-1,"",7,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5TRTM BLACK/WHITE",-3,"",4,0.00,0.00
,"Build Assembly","07/17/2025",,"77","5TRTM BLACK/WHITE",-1,"",3,0.00,0.00
,"Build Assembly","07/17/2025",,"78","5TRTM BLACK/WHITE",-1,"",2,0.00,0.00
,"Build Assembly","11/21/2025",,"139","5TRTM BLACK/WHITE",-2,"",0,0.00,0.00
,"Item Receipt","11/25/2025","EPOCH",,"5TRTM BLACK/WHITE",4,0.00,4,0.00,0.00
,"Build Assembly","11/25/2025",,"163","5TRTM BLACK/WHITE",-4,"",0,0.00,0.00
,"Item Receipt","11/25/2025","EPOCH",,"5TRTM BLACK/WHITE",3,0.00,3,0.00,0.00
,"Build Assembly","11/25/2025",,"172","5TRTM BLACK/WHITE",-3,"",0,0.00,0.00
,"Invoice","03/02/2026","CREATIVE MALE","433195","5TRTM BLACK/WHITE",-3,"",-3,0.00,0.00
